,mean_fit_time,mean_score_time,mean_test_explained_variance,mean_test_neg_mean_absolute_error,mean_test_neg_mean_squared_error,mean_test_neg_median_absolute_error,mean_test_r2,mean_train_explained_variance,mean_train_neg_mean_absolute_error,mean_train_neg_mean_squared_error,mean_train_neg_median_absolute_error,mean_train_r2,params,rank_test_explained_variance,rank_test_neg_mean_absolute_error,rank_test_neg_mean_squared_error,rank_test_neg_median_absolute_error,rank_test_r2,std_fit_time,std_score_time,std_test_explained_variance,std_test_neg_mean_absolute_error,std_test_neg_mean_squared_error,std_test_neg_median_absolute_error,std_test_r2,std_train_explained_variance,std_train_neg_mean_absolute_error,std_train_neg_mean_squared_error,std_train_neg_median_absolute_error,std_train_r2,Name,Feature_Set
81,0.04463188648223877,0.001549100875854492,-0.4421228012803389,-1.1286275071833012,-2.313012430571263,-0.9219652177446739,-0.7183388922438437,0.8002224273472235,-1.0743951605968962,-2.342172586855594,-0.8879711035700449,0.7609138287551936,"{'momentum': 0.6, 'max_iter': 50000, 'hidden_layer_sizes': (4,), 'learning_rate': 'constant', 'learning_rate_init': 0.1}",44,2,1,1,1,0.04809611317619616,2.309221483682313e-05,1.355562029014888,0.5454840712277677,1.8643104861167372,0.42017628908272886,1.5988131597990802,0.13979191955208925,0.5524694164385856,1.7375973755303435,0.4989868255651672,0.17549019107524777,ANN,6_features
0,0.0018124103546142579,0.001989316940307617,-1.28102151678598,-1.2647479669203456,-2.6109314706394353,-1.1699209982094583,-4.821045983253429,0.8089204499123893,-1.0462962084007092,-1.8271707416265304,-0.9345704262272344,0.8089204499123893,"{'max_iter': 10000, 'alpha': 0.1}",12,1,1,4,1,0.0012406488422269572,0.0005966266078339301,4.834513302968178,0.4418483170898339,1.8581754076072856,0.4500778829133752,13.82382348097901,0.016968027995945684,0.0649704419203565,0.1550730952723563,0.08826014621221598,0.016968027995945673,Lasso,6_features
1,0.0012196063995361327,0.0019426584243774415,-1.2810215167859798,-1.2647479669203456,-2.6109314706394353,-1.169920998209458,-4.821045983253429,0.8089204499123893,-1.0462962084007092,-1.8271707416265304,-0.9345704262272345,0.8089204499123893,"{'max_iter': 50000, 'alpha': 0.1}",11,1,1,3,1,0.0004846185817372969,0.0007092835196955819,4.834513302968178,0.44184831708983385,1.8581754076072852,0.45007788291337514,13.82382348097901,0.0169680279959457,0.06497044192035648,0.15507309527235646,0.08826014621221605,0.016968027995945684,Lasso,6_features
0,0.0042732954025268555,0.0025993108749389647,-1.9033723772518363,-1.3305366055918018,-2.6863211401259535,-1.2653405416728891,-4.392493506010687,0.8161099309084703,-1.064384694715328,-1.7589634126142417,-0.9099012898296485,0.8161099309084703,{'normalize': True},1,1,1,1,1,0.00373295476390142,0.0011019094983865207,6.424852184979714,0.42291035862095755,1.7311494190290608,0.5414751858097818,12.3441660798337,0.01633686833551604,0.06370604200891329,0.1556573763924106,0.038889185430994025,0.016336868335516067,LR,6_features
3,0.0011610746383666991,0.004377126693725586,0.4375076872975309,-0.9116139843197918,-1.925212215192418,-0.7878881945221351,0.33648859297885586,0.9176260485274998,-0.5877520210220373,-0.7899146170889615,-0.30397920834625014,0.9171252859195308,{'n_neighbors': 4},3,1,1,2,2,0.0004699149323410615,0.0014348079889540048,0.33844296694592174,0.6497177089109425,2.2603104863514836,0.6461678742189301,0.3948156877643276,0.010106768651123244,0.03252284735242981,0.07269179601501642,0.05732941164062959,0.010039843201430258,K-nn,15_features
182,0.08493621349334717,0.020086908340454103,0.4841061211808695,-0.7864721768712021,-1.3299950773630418,-0.6425474946141827,0.02580563243622458,0.9794596704064682,-0.3080600751871533,-0.1964625471856753,-0.19927259913489875,0.9793629470052252,"{'n_estimators': 50, 'max_depth': 6, 'max_features': 10, 'min_samples_leaf': 0.01}",121,1,1,1,104,0.004788370138118321,0.0033327461921050373,0.545831938267991,0.41087312457550806,1.458410943859738,0.4142921615535705,1.4117032102459064,0.002940204770716617,0.02122534376687681,0.021139370706356984,0.025733736786725466,0.002960725007082841,Random_Forest,15_features
110,0.01585509777069092,0.0020921707153320314,0.19421134477311164,-0.6915867925733555,-1.1285244161865067,-0.5678307978315059,-0.41824562260235004,0.9921173247275291,-0.172241963602487,-0.07514563422051786,-0.08460096336911328,0.9921173247275291,"{'n_estimators': 50, 'max_depth': 4, 'max_features': 10, 'min_samples_leaf': 0.02}",249,1,1,11,86,0.0020897801516738088,0.0004980065091133725,1.6201874081207628,0.3954851170927501,1.48963590700987,0.324493662582363,2.9087962667803637,0.0012371453864964365,0.014802984251967981,0.010223866037467819,0.010421369931570609,0.0012371453864964514,GBT,15_features
92,0.006276726722717285,0.0016191482543945312,0.2909935573408769,-0.8719659253412724,-1.405478955542496,-0.6997922643864185,-0.037587565477716106,0.8495944152869569,-0.976034220386975,-1.6921761606916128,-0.7712935663720872,0.8266168006345911,"{'momentum': 0.4, 'max_iter': 50000, 'hidden_layer_sizes': (8,), 'learning_rate': 'constant', 'learning_rate_init': 0.2}",3,1,1,1,1,0.0016318230047749267,0.0001210392118762284,0.903470075391374,0.3837154865671218,1.1409668940669753,0.29445941459955693,1.3622363285446923,0.07602269380841903,0.23789838715418343,0.8019577656360777,0.20757278584908503,0.07506807597568971,ANN,15_features
1,0.001975703239440918,0.0017109155654907227,-1.150780031778093,-0.93795720996317,-1.5275741572645518,-0.7644615381313403,-2.1721532711042015,0.8976409655788572,-0.7561137019890471,-0.9767845784180776,-0.6143706153700046,0.8976409655788572,"{'max_iter': 50000, 'alpha': 0.1}",11,1,1,1,1,0.000634228447703309,0.0004848881126649149,4.977885908381075,0.2670803404700254,1.036374597737709,0.23832513030853722,7.4277003480222445,0.009139724391795691,0.03321852190456522,0.059518961205048106,0.05907940264511937,0.009139724391795691,Lasso,15_features
0,0.0032674789428710936,0.0024700164794921875,-1.7734368332862,-0.903599573191875,-1.3292287293165925,-0.81301120687034,-1.899909869997946,0.9108070520473761,-0.7161091763279175,-0.8517673561037864,-0.6124396134990105,0.9108057200877461,{'normalize': True},1,1,1,1,1,0.0028085410751226944,0.0010356627167755253,6.732933157767624,0.24886186866496238,0.7870539138875002,0.30211399416957646,6.699150498671726,0.008229311937657545,0.03314202282567517,0.06510194606727517,0.06337235608477326,0.008225888575482438,LR,15_features
