,Brij,pH,acetonitril,pol,H-don,H-acc,H,logP,Mass,MW,MR,Eb,Ecd,Ed,Non-1.4 VDW E,Stretch E,Stretch Bend E,Torsion E (Et),Total Energy (E),"VDW 1,4 Energy",Diam,Tindex,Rad,ShpA,ShpC,SAS,Marea,SEV,LUMO,HOMO,k
70,15,3.5,25,26.19,1,4,8.2226,2.52,253.08700000000002,253.73,6.8067,10.3333,0.0,-4.756419999999999,-1.14038,5.36466,-0.0096,-3.5784199999999995,14.8652,8.65212,11,4174.0,6.0,15.0588,0.833333,481.525,248.954,208.90099999999998,47,46,5.7
72,20,3.0,15,26.19,1,4,8.2226,2.52,253.08700000000002,253.73,6.8067,10.3333,0.0,-4.756419999999999,-1.14038,5.36466,-0.0096,-3.5784199999999995,14.8652,8.65212,11,4174.0,6.0,15.0588,0.833333,481.525,248.954,208.90099999999998,47,46,8.4225
73,20,4.0,15,26.19,1,4,8.2226,2.52,253.08700000000002,253.73,6.8067,10.3333,0.0,-4.756419999999999,-1.14038,5.36466,-0.0096,-3.5784199999999995,14.8652,8.65212,11,4174.0,6.0,15.0588,0.833333,481.525,248.954,208.90099999999998,47,46,11.26083333
74,20,3.0,25,26.19,1,4,8.2226,2.52,253.08700000000002,253.73,6.8067,10.3333,0.0,-4.756419999999999,-1.14038,5.36466,-0.0096,-3.5784199999999995,14.8652,8.65212,11,4174.0,6.0,15.0588,0.833333,481.525,248.954,208.90099999999998,47,46,4.710833333
75,20,4.0,25,26.19,1,4,8.2226,2.52,253.08700000000002,253.73,6.8067,10.3333,0.0,-4.756419999999999,-1.14038,5.36466,-0.0096,-3.5784199999999995,14.8652,8.65212,11,4174.0,6.0,15.0588,0.833333,481.525,248.954,208.90099999999998,47,46,4.719166667
80,15,3.0,20,47.69,2,7,4.2792,1.38,463.99304639999997,465.2432031,12.45240071,23.49164253,-1.70580672,-3.048156961,-6.374681319,8.186093353,0.08640659,12.61990313,57.04454958,23.78909284,18,24013.1301,9.0,29.0323,1.0,735.3652519,412.4793188,383.5651097,85,84,4.783333333
82,15,4.0,20,47.2,1,8,4.2792,3.02,463.4955984,464.74624860000006,12.40862726,20.80004418,-4.133485712,-2.114371066,-3.690322614,7.903609017999999,0.09020639999999999,8.65648125,50.97815148,23.46594904,18,23915.9106,9.0,29.0323,1.0,735.1959813999999,411.8693528,381.3892682,84,83,5.34917
84,15,3.5,15,47.69,2,7,4.2792,2.09,463.77622560000003,465.02659739999996,12.43332134,22.31846562,-2.7639500860000004,-2.641151194,-5.204659926000001,8.062967962,0.08806286,10.89238125,54.40041132,23.64824536,18,23970.7554,9.0,29.0323,1.0,735.2914726,412.21345519999994,382.6167338,85,84,6.5275
85,25,3.5,15,47.69,2,7,4.2792,2.09,463.77622560000003,465.02659739999996,12.43332134,22.31846562,-2.7639500860000004,-2.641151194,-5.204659926000001,8.062967962,0.08806286,10.89238125,54.40041132,23.64824536,18,23970.7554,9.0,29.0323,1.0,735.2914726,412.21345519999994,382.6167338,85,84,4.739166667
86,15,3.5,25,47.69,2,7,4.2792,2.09,463.77622560000003,465.02659739999996,12.43332134,22.31846562,-2.7639500860000004,-2.641151194,-5.204659926000001,8.062967962,0.08806286,10.89238125,54.40041132,23.64824536,18,23970.7554,9.0,29.0323,1.0,735.2914726,412.21345519999994,382.6167338,85,84,4.5025
87,25,3.5,25,47.69,2,7,4.2792,2.09,463.77622560000003,465.02659739999996,12.43332134,22.31846562,-2.7639500860000004,-2.641151194,-5.204659926000001,8.062967962,0.08806286,10.89238125,54.40041132,23.64824536,18,23970.7554,9.0,29.0323,1.0,735.2914726,412.21345519999994,382.6167338,85,84,3.425
88,20,3.0,15,47.69,2,7,4.2792,1.38,463.99304639999997,465.2432031,12.45240071,23.49164253,-1.70580672,-3.048156961,-6.374681319,8.186093353,0.08640659,12.61990313,57.04454958,23.78909284,18,24013.1301,9.0,29.0323,1.0,735.3652519,412.4793188,383.5651097,85,84,6.216666667
91,20,4.0,25,47.2,1,8,4.2792,3.02,463.4955984,464.74624860000006,12.40862726,20.80004418,-4.133485712,-2.114371066,-3.690322614,7.903609017999999,0.09020639999999999,8.65648125,50.97815148,23.46594904,18,23915.9106,9.0,29.0323,1.0,735.1959813999999,411.8693528,381.3892682,84,83,5.510833333
92,20,3.5,20,47.69,2,7,4.2792,2.09,463.77622560000003,465.02659739999996,12.43332134,22.31846562,-2.7639500860000004,-2.641151194,-5.204659926000001,8.062967962,0.08806286,10.89238125,54.40041132,23.64824536,18,23970.7554,9.0,29.0323,1.0,735.2914726,412.21345519999994,382.6167338,85,84,5.330830000000001
93,20,3.5,20,47.69,2,7,4.2792,2.09,463.77622560000003,465.02659739999996,12.43332134,22.31846562,-2.7639500860000004,-2.641151194,-5.204659926000001,8.062967962,0.08806286,10.89238125,54.40041132,23.64824536,18,23970.7554,9.0,29.0323,1.0,735.2914726,412.21345519999994,382.6167338,85,84,5.135833333
94,20,3.5,20,47.69,2,7,4.2792,2.09,463.77622560000003,465.02659739999996,12.43332134,22.31846562,-2.7639500860000004,-2.641151194,-5.204659926000001,8.062967962,0.08806286,10.89238125,54.40041132,23.64824536,18,23970.7554,9.0,29.0323,1.0,735.2914726,412.21345519999994,382.6167338,85,84,5.205833333
95,20,3.5,20,47.69,2,7,4.2792,2.09,463.77622560000003,465.02659739999996,12.43332134,22.31846562,-2.7639500860000004,-2.641151194,-5.204659926000001,8.062967962,0.08806286,10.89238125,54.40041132,23.64824536,18,23970.7554,9.0,29.0323,1.0,735.2914726,412.21345519999994,382.6167338,85,84,5.66667
