Brij,pH,acetonitril,pol,H-don,H-acc,H,logP,Mass,MW,MR,Eb,Ecd,Ed,Non-1.4 VDW E,Stretch E,Stretch Bend E,Torsion E (Et),Total Energy (E),"VDW 1,4 Energy",Diam,Tindex,Rad,ShpA,ShpC,SAS,Marea,SEV,LUMO,HOMO,k
15,4,20,23.36,2,1,4.2792,2.79,231.046,232.133,5.9979,7.57237,-2.55711,2.97571,-0.959167,2.1989,-0.120195,14.2541,32.9987,9.63412,7,2120,4,12.0714,0.75,396.463,204.063,180.717,40,39,1.9975
25,4,20,23.36,2,1,4.2792,2.79,231.046,232.133,5.9979,7.57237,-2.55711,2.97571,-0.959167,2.1989,-0.120195,14.2541,32.9987,9.63412,7,2120,4,12.0714,0.75,396.463,204.063,180.717,40,39,2.1
15,3.5,15,23.36,2,1,4.2792,2.79,231.046,232.133,5.9979,7.57237,-2.55711,2.97571,-0.959167,2.1989,-0.120195,14.2541,32.9987,9.63412,7,2120,4,12.0714,0.75,396.463,204.063,180.717,40,39,2.710833333
25,3.5,15,23.36,2,1,4.2792,2.79,231.046,232.133,5.9979,7.57237,-2.55711,2.97571,-0.959167,2.1989,-0.120195,14.2541,32.9987,9.63412,7,2120,4,12.0714,0.75,396.463,204.063,180.717,40,39,2.2225
15,3.5,25,23.36,2,1,4.2792,2.79,231.046,232.133,5.9979,7.57237,-2.55711,2.97571,-0.959167,2.1989,-0.120195,14.2541,32.9987,9.63412,7,2120,4,12.0714,0.75,396.463,204.063,180.717,40,39,1.155833333
25,3.5,25,23.36,2,1,4.2792,2.79,231.046,232.133,5.9979,7.57237,-2.55711,2.97571,-0.959167,2.1989,-0.120195,14.2541,32.9987,9.63412,7,2120,4,12.0714,0.75,396.463,204.063,180.717,40,39,1.055833333
20,3,15,23.36,2,1,4.2792,2.79,231.046,232.133,5.9979,7.57237,-2.55711,2.97571,-0.959167,2.1989,-0.120195,14.2541,32.9987,9.63412,7,2120,4,12.0714,0.75,396.463,204.063,180.717,40,39,1.664166667
20,4,15,23.36,2,1,4.2792,2.79,231.046,232.133,5.9979,7.57237,-2.55711,2.97571,-0.959167,2.1989,-0.120195,14.2541,32.9987,9.63412,7,2120,4,12.0714,0.75,396.463,204.063,180.717,40,39,3.03083
20,3,25,23.36,2,1,4.2792,2.79,231.046,232.133,5.9979,7.57237,-2.55711,2.97571,-0.959167,2.1989,-0.120195,14.2541,32.9987,9.63412,7,2120,4,12.0714,0.75,396.463,204.063,180.717,40,39,0.789166667
20,4,25,23.36,2,1,4.2792,2.79,231.046,232.133,5.9979,7.57237,-2.55711,2.97571,-0.959167,2.1989,-0.120195,14.2541,32.9987,9.63412,7,2120,4,12.0714,0.75,396.463,204.063,180.717,40,39,1.605833333
20,3.5,20,23.36,2,1,4.2792,2.79,231.046,232.133,5.9979,7.57237,-2.55711,2.97571,-0.959167,2.1989,-0.120195,14.2541,32.9987,9.63412,7,2120,4,12.0714,0.75,396.463,204.063,180.717,40,39,1.3993
